" ",ACT,SCENE,ACTOR,AM,AND,ARE,ARTICLE,AS,AT_LEAST_AS,AT_MOST_AS,BETTER,BOTH,COLON,COMMA,DIFFERENT,EITHER,ENTER,EXEUNT,EXIT,FROM,I,IF,INTERJECTION,IS,LBRACKET,LESS,LET,LISTEN_TO_YOUR_HEART,MORE,MUST,MYSELF,NEG_ADJ,NEG_NOUN,NOT,NOTHING,OMNES,OPEN_YOUR_HEART,OPEN_YOUR_MIND,OR,OUGHT,PE,POSSESSIVE,POSTHASTE,POS_ADJ,POS_NOUN,PROCEED,QUESTION,THE_QUOTIENT_BETWEEN,THE_REMAINDER_BETWEEN,RBRACKET,RECALL,REMEMBER,RETURN,SHALL,SO,SPEAK_YOUR_MIND,THAN,THE_DIFFERENCE_BETWEEN,THE_OPPOSITE_OF,THE_PRODUCT_OF,THE_QUOTIENT_OF,THE_REMAINDER_OF,THE_SCR_OF,THE_SUM_OF,THE,TO,TWICE_THRICE_HALF,US,WE,WORSE,YOU,YOURSELF,ANYWORD,$
enterexit-stmt'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   ENTER  actorlist  RBRACKET","   EXEUNT  exeunt'","   EXIT  actorlist  RBRACKET"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
exeunt'," "," ","   actorlist  RBRACKET"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   OMNES  RBRACKET"," "," "," "," "," "," "," "," "," "," "," "," "," ","   RBRACKET"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
assignment," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   I  AM  arithmetic"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   YOU  assignment'"," "," "
assignment'," "," "," "," "," ","   ARE  assignment''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   value","   value"," "," "," "," "," "," "," "," "," "," ","   value","   value"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
assignment''," "," ","   arithmetic"," "," "," ","   arithmetic","   AS  adj  AS  arithmetic"," "," "," ","   arithmetic"," "," "," ","   arithmetic"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   arithmetic"," "," "," ","   arithmetic"," "," "," "," "," "," ","   arithmetic"," "," "," "," "," ","   arithmetic","   arithmetic"," "," "," "," "," "," "," "," ","   arithmetic","   arithmetic","   arithmetic","   arithmetic","   arithmetic","   arithmetic","   arithmetic","   arithmetic"," ","   arithmetic"," "," "," ","   arithmetic","   arithmetic"," "
arithmetic," "," ","   ACTOR"," "," "," ","   ARTICLE  value"," "," "," "," ","   BOTH  arithmetic  AND  arithmetic"," "," "," ","   EITHER  arithmetic  OR  arithmetic"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   MYSELF"," "," "," ","   NOTHING"," "," "," "," "," "," ","   POSSESSIVE  value"," "," "," "," "," ","   THE_QUOTIENT_BETWEEN  arithmetic  AND  arithmetic","   THE_REMAINDER_BETWEEN  arithmetic  AND  arithmetic"," "," "," "," "," "," "," "," ","   THE_DIFFERENCE_BETWEEN  arithmetic  AND  arithmetic","   THE_OPPOSITE_OF  arithmetic","   THE_PRODUCT_OF  arithmetic  AND  arithmetic","   THE_QUOTIENT_OF  arithmetic  AND  arithmetic","   THE_REMAINDER_OF  arithmetic  AND  arithmetic","   THE_SCR_OF  arithmetic","   THE_SUM_OF  arithmetic  AND  arithmetic","   THE  value"," ","   TWICE_THRICE_HALF  arithmetic"," "," "," ","   YOU","   YOURSELF"," "
value," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   adj-list  noun","   adj-list  noun"," "," "," "," "," "," "," "," "," "," ","   adj-list  noun","   adj-list  noun"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actorlist," "," ","   ACTOR  actorlist'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actorlist'," "," "," "," ","   AND  ACTOR"," "," "," "," "," "," "," "," ","   COMMA  actorlist2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actorlist2," "," ","   ACTOR  actorlist2'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
actorlist2'," "," "," "," ","   AND  ACTOR"," "," "," "," "," "," "," "," ","   COMMA  actorlist2"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
noun," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   NEG_NOUN"," "," "," "," "," "," "," "," "," "," "," ","   POS_NOUN"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
adj," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   NEG_ADJ"," "," "," "," "," "," "," "," "," "," "," ","   POS_ADJ"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
adj-list," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   adj  adj-list","   lambda"," "," "," "," "," "," "," "," "," "," ","   adj  adj-list","   lambda"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
let_us," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   LET  US"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   WE  let_us'"," "," "," "," "
let_us'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   MUST"," "," "," "," "," "," "," "," "," ","   OUGHT  TO"," "," "," "," "," "," "," "," "," "," "," "," "," ","   SHALL"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
goto," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   let_us  goto'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   let_us  goto'"," "," "," "," "
goto'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   PROCEED  goto''"," "," "," "," "," "," ","   RETURN"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
goto''," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   POSTHASTE  TO  goto-target"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   TO  goto-target"," "," "," "," "," "," "," "
goto-target,"   ACT  goto-target'"," ","   goto-target'''","   goto-target'''","   goto-target'''"," ","   goto-target'''"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   goto-target'''"," ","   goto-target'''"," ","   goto-target'''"," "," ","   goto-target'''"," "," ","   goto-target'''","   goto-target'''"," "," "," ","   goto-target'''"," "," "," ","   goto-target'''","   goto-target'''"," ","   goto-target'''","   goto-target'''"," "," "," "," "," "," "," "," "," "," ","   goto-target'''"," "," "," "," "," "," "," ","   goto-target'''","   goto-target'''","   goto-target'''"," "," ","   goto-target'''"," ","   goto-target'''"," ","   goto-target'''"
goto-target'," "," "," "," "," "," "," "," "," "," "," "," "," ","   goto-target''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   goto-target''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
goto-target''," "," "," "," "," "," "," "," "," "," "," "," "," ","   COMMA  SCENE  goto-target'''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   lambda"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
goto-target'''," "," ","   wordlist","   wordlist","   wordlist"," ","   wordlist"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   wordlist"," ","   wordlist"," ","   wordlist"," "," ","   wordlist"," "," ","   wordlist","   wordlist"," "," "," ","   wordlist"," "," "," ","   wordlist","   wordlist"," ","   wordlist","   wordlist"," "," "," "," "," "," "," "," "," "," ","   wordlist"," "," "," "," "," "," "," ","   wordlist","   wordlist","   wordlist"," "," ","   wordlist"," ","   wordlist"," ","   wordlist"
stackop," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   RECALL  wordlist","   REMEMBER  arithmetic"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
question," "," "," ","   AM  I  comparison"," ","   ARE  YOU  comparison"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   IS  arithmetic  comparison"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
comparison," "," "," "," "," "," "," ","   AS  adj  AS  arithmetic","   AT_LEAST_AS  adj  AS  arithmetic","   AT_MOST_AS  adj  AS  arithmetic","   BETTER  THAN  arithmetic"," "," "," ","   DIFFERENT  FROM  arithmetic"," "," "," "," "," "," "," "," "," "," ","   LESS  adj  THAN  arithmetic"," "," ","   MORE  adj  THAN  arithmetic"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   WORSE  THAN  arithmetic"," "," "," "
conditional," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   IF  conditional'"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
conditional'," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   NOT  COMMA  optional-interjection  sentence"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   SO  COMMA  optional-interjection  sentence"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
wordlist," "," ","   allwords  wordlist","   allwords  wordlist","   allwords  wordlist"," ","   allwords  wordlist"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   allwords  wordlist"," ","   allwords  wordlist"," ","   allwords  wordlist"," "," ","   allwords  wordlist"," "," ","   allwords  wordlist","   allwords  wordlist"," "," "," ","   allwords  wordlist"," "," "," ","   lambda","   allwords  wordlist"," ","   allwords  wordlist","   allwords  wordlist"," ","   lambda"," "," "," "," "," "," "," "," ","   allwords  wordlist"," "," "," "," "," "," "," ","   allwords  wordlist","   allwords  wordlist","   allwords  wordlist"," "," ","   allwords  wordlist"," ","   allwords  wordlist"," ","   allwords  wordlist"
allwords," "," ","   keyword","   keyword","   keyword"," ","   keyword"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword"," ","   keyword"," ","   keyword"," "," ","   keyword"," "," ","   keyword","   keyword"," "," "," ","   keyword"," "," "," "," ","   keyword"," ","   keyword","   keyword"," "," "," "," "," "," "," "," "," "," ","   keyword"," "," "," "," "," "," "," ","   keyword","   keyword","   keyword"," "," ","   keyword"," ","   keyword"," ","   ANYWORD"
keyword," "," ","   keyword'","   keyword'","   keyword'"," ","   keyword'"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'"," ","   keyword'"," ","   keyword'"," "," ","   keyword'"," "," ","   keyword'","   keyword'"," "," "," ","   keyword'"," "," "," "," ","   keyword'"," ","   keyword'","   keyword'"," "," "," "," "," "," "," "," "," "," ","   keyword'"," "," "," "," "," "," "," ","   keyword'","   keyword'","   keyword'"," "," ","   keyword'"," ","   keyword'"," "," "
keyword'," "," ","   keyword''","   keyword''","   keyword''"," ","   ARTICLE"," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''"," ","   keyword''"," ","   keyword''"," "," ","   keyword''"," "," ","   keyword''","   keyword''"," "," "," ","   keyword''"," "," "," "," ","   keyword''"," ","   keyword''","   keyword''"," "," "," "," "," "," "," "," "," "," ","   keyword''"," "," "," "," "," "," "," ","   keyword''","   keyword''","   keyword''"," "," ","   keyword''"," ","   keyword''"," "," "
keyword''," "," ","   keyword'''","   AM","   keyword'''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''"," ","   keyword'''"," ","   keyword'''"," "," ","   keyword'''"," "," ","   keyword'''","   keyword'''"," "," "," ","   keyword'''"," "," "," "," ","   keyword'''"," ","   keyword'''","   keyword'''"," "," "," "," "," "," "," "," "," "," ","   keyword'''"," "," "," "," "," "," "," ","   keyword'''","   keyword'''","   keyword'''"," "," ","   keyword'''"," ","   keyword'''"," "," "
keyword'''," "," ","   keyword''''"," ","   keyword''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''"," ","   IS"," ","   keyword''''"," "," ","   keyword''''"," "," ","   keyword''''","   keyword''''"," "," "," ","   keyword''''"," "," "," "," ","   keyword''''"," ","   keyword''''","   keyword''''"," "," "," "," "," "," "," "," "," "," ","   keyword''''"," "," "," "," "," "," "," ","   keyword''''","   keyword''''","   keyword''''"," "," ","   keyword''''"," ","   keyword''''"," "," "
keyword''''," "," ","   keyword'''''"," ","   keyword'''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword'''''"," "," "," ","   keyword'''''"," "," ","   keyword'''''"," "," ","   keyword'''''","   noun"," "," "," ","   keyword'''''"," "," "," "," ","   keyword'''''"," ","   keyword'''''","   noun"," "," "," "," "," "," "," "," "," "," ","   keyword'''''"," "," "," "," "," "," "," ","   keyword'''''","   keyword'''''","   keyword'''''"," "," ","   keyword'''''"," ","   keyword'''''"," "," "
keyword'''''," "," ","   keyword''''''"," ","   keyword''''''"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","   keyword''''''"," "," "," ","   keyword''''''"," "," ","   keyword''''''"," "," ","   keyword''''''","   keyword''''''"," "," "," ","   keyword''''''"," "," "," "," ","   keyword''''''"," ","   keyword''''''","   keyword''''''"," "," "," "," "," "," "," "," "," "," ","   keyword''''''"," "," "," "," "," "," "," ","   keyword''''''","   THE","   keyword''''''"," "," ","   keyword''''''"," ","   keyword''''''"," "," "
